Store Group,Transaction Date,Business,Category,Main Category,Sub Category,Item ID,Product,Sale Quantity,Sales Value,Day,Cost,Sales
FreshMart Group,2025-03-02,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0022,Lemon,5,254.3,Sunday,50.86,254.3
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0023,Cabbage,6,440.88,Monday,73.48,440.88
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0024,Peach,5,108.05,Wednesday,21.61,108.05
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0025,Pineapple,11,277.31,Monday,25.21,277.31
FreshMart Group,2025-02-10,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0026,Cauliflower,8,232.8,Monday,29.1,232.8
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0027,Orange,1,53.67,Wednesday,53.67,53.67
FreshMart Group,2025-01-17,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0028,Beetroot,16,555.68,Friday,34.73,555.68
FreshMart Group,2025-02-26,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0029,Mosambi,9,614.07,Wednesday,68.23,614.07
FreshMart Group,2025-01-09,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0030,Plum,14,1334.2,Thursday,95.3,1334.2
FreshMart Group,2025-02-27,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0031,Mosambi,5,357.85,Thursday,71.57,357.85
FreshMart Group,2025-01-15,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0032,Lemon,12,370.32,Wednesday,30.86,370.32
FreshMart Group,2025-01-24,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0033,Carrot,4,222.36,Friday,55.59,222.36
FreshMart Group,2025-01-16,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0034,Blueberry,9,889.11,Thursday,98.79,889.11
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0035,Peach,6,571.38,Friday,95.23,571.38
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0036,Lettuce,10,958.5,Monday,95.85,958.5
FreshMart Group,2025-01-16,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0037,Orange,15,1119.9,Thursday,74.66,1119.9
FreshMart Group,2025-02-24,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0038,Potato,19,1603.41,Monday,84.39,1603.41
FreshMart Group,2025-01-12,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0039,Spinach,12,944.4,Sunday,78.7,944.4
FreshMart Group,2025-01-08,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0040,Strawberry,15,225.3,Wednesday,15.02,225.3
FreshMart Group,2025-02-02,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0041,Pumpkin,12,487.2,Sunday,40.6,487.2
FreshMart Group,2025-02-02,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0042,Lemon,17,223.72,Sunday,13.16,223.72
FreshMart Group,2025-01-12,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0043,Strawberry,13,1279.2,Sunday,98.4,1279.2
FreshMart Group,2025-02-16,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0044,Plum,9,166.41,Sunday,18.49,166.41
FreshMart Group,2025-02-21,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0045,Cauliflower,4,86.84,Friday,21.71,86.84
FreshMart Group,2025-02-27,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0046,Pumpkin,11,623.48,Thursday,56.68,623.48
FreshMart Group,2025-01-09,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0047,Pineapple,4,228.64,Thursday,57.16,228.64
FreshMart Group,2025-02-10,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0048,Banana,5,396.45,Monday,79.29,396.45
FreshMart Group,2025-01-11,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0049,Peach,10,887.4,Saturday,88.74,887.4
FreshMart Group,2025-02-14,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0050,Strawberry,9,803.07,Friday,89.23,803.07
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0051,Pumpkin,3,240.0,Friday,80.0,240.0
FreshMart Group,2025-02-22,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0052,Mango,6,146.58,Saturday,24.43,146.58
FreshMart Group,2025-02-17,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0053,Peach,17,1293.7,Monday,76.1,1293.7
FreshMart Group,2025-02-24,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0054,Strawberry,18,1397.52,Monday,77.64,1397.52
FreshMart Group,2025-01-26,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0055,Lettuce,20,1042.2,Sunday,52.11,1042.2
FreshMart Group,2025-01-14,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0056,Beetroot,10,234.7,Tuesday,23.47,234.7
FreshMart Group,2025-01-13,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0057,Spinach,3,180.51,Monday,60.17,180.51
FreshMart Group,2025-01-16,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0058,Pineapple,15,570.0,Thursday,38.0,570.0
FreshMart Group,2025-02-28,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0059,Plum,14,433.44,Friday,30.96,433.44
FreshMart Group,2025-01-07,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0060,Spinach,7,621.39,Tuesday,88.77,621.39
FreshMart Group,2025-02-02,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0061,Mango,16,196.48,Sunday,12.28,196.48
FreshMart Group,2025-02-15,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0062,Pumpkin,14,201.18,Saturday,14.37,201.18
FreshMart Group,2025-01-26,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0063,Peach,3,59.61,Sunday,19.87,59.61
FreshMart Group,2025-02-14,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0064,Strawberry,3,93.57,Friday,31.19,93.57
FreshMart Group,2025-01-18,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0065,Orange,12,795.96,Saturday,66.33,795.96
FreshMart Group,2025-03-02,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0066,Cauliflower,17,549.61,Sunday,32.33,549.61
FreshMart Group,2025-01-15,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0067,Carrot,12,651.96,Wednesday,54.33,651.96
FreshMart Group,2025-02-08,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0068,Mosambi,19,1003.01,Saturday,52.79,1003.01
FreshMart Group,2025-02-25,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0069,Mosambi,17,1441.09,Tuesday,84.77,1441.09
FreshMart Group,2025-01-28,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0070,Mosambi,16,1354.88,Tuesday,84.68,1354.88
FreshMart Group,2025-02-27,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0071,Peach,2,182.42,Thursday,91.21,182.42
FreshMart Group,2025-02-22,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0072,Lettuce,7,190.75,Saturday,27.25,190.75
FreshMart Group,2025-02-14,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0073,Bottle Gourd,6,552.84,Friday,92.14,552.84
FreshMart Group,2025-01-28,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0074,Cabbage,5,106.65,Tuesday,21.33,106.65
FreshMart Group,2025-02-03,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0075,Pineapple,19,463.03,Monday,24.37,463.03
FreshMart Group,2025-01-22,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0076,Carrot,17,884.68,Wednesday,52.04,884.68
FreshMart Group,2025-01-07,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0077,Cauliflower,9,506.25,Tuesday,56.25,506.25
FreshMart Group,2025-02-05,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0078,Peach,4,228.64,Wednesday,57.16,228.64
FreshMart Group,2025-01-15,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0079,Blueberry,2,112.12,Wednesday,56.06,112.12
FreshMart Group,2025-02-14,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0080,Blueberry,7,170.24,Friday,24.32,170.24
FreshMart Group,2025-01-05,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0081,Cabbage,13,970.45,Sunday,74.65,970.45
FreshMart Group,2025-03-02,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0082,Beetroot,8,589.44,Sunday,73.68,589.44
FreshMart Group,2025-03-01,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0083,Pineapple,20,618.8,Saturday,30.94,618.8
FreshMart Group,2025-01-19,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0084,Lemon,17,314.33,Sunday,18.49,314.33
FreshMart Group,2025-01-27,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0085,Lemon,20,1765.0,Monday,88.25,1765.0
FreshMart Group,2025-02-26,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0086,Plum,1,20.31,Wednesday,20.31,20.31
FreshMart Group,2025-01-26,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0087,Pumpkin,7,381.78,Sunday,54.54,381.78
FreshMart Group,2025-02-20,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0088,Carrot,14,595.56,Thursday,42.54,595.56
FreshMart Group,2025-01-11,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0089,Potato,20,1280.8,Saturday,64.04,1280.8
FreshMart Group,2025-02-27,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0090,Plum,8,495.92,Thursday,61.99,495.92
FreshMart Group,2025-02-11,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0091,Beetroot,2,182.5,Tuesday,91.25,182.5
FreshMart Group,2025-02-25,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0092,Peach,10,567.2,Tuesday,56.72,567.2
FreshMart Group,2025-02-19,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0093,Banana,7,329.21,Wednesday,47.03,329.21
FreshMart Group,2025-01-17,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0094,Plum,8,482.64,Friday,60.33,482.64
FreshMart Group,2025-01-09,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0095,Pineapple,12,711.48,Thursday,59.29,711.48
FreshMart Group,2025-01-19,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0096,Potato,7,569.1,Sunday,81.3,569.1
FreshMart Group,2025-02-16,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0097,Pumpkin,8,781.52,Sunday,97.69,781.52
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0098,Peach,18,707.94,Wednesday,39.33,707.94
FreshMart Group,2025-02-04,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0099,Potato,15,533.25,Tuesday,35.55,533.25
FreshMart Group,2025-01-31,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0100,Pineapple,20,1736.4,Friday,86.82,1736.4
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0101,Strawberry,16,855.68,Wednesday,53.48,855.68
FreshMart Group,2025-01-21,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0102,Bottle Gourd,20,1175.6,Tuesday,58.78,1175.6
FreshMart Group,2025-02-04,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0103,Peach,14,318.92,Tuesday,22.78,318.92
FreshMart Group,2025-02-20,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0104,Lettuce,9,602.91,Thursday,66.99,602.91
FreshMart Group,2025-01-15,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0105,Bottle Gourd,2,22.42,Wednesday,11.21,22.42
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0106,Bottle Gourd,1,68.8,Friday,68.8,68.8
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0107,Beetroot,1,74.47,Friday,74.47,74.47
FreshMart Group,2025-01-13,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0108,Spinach,9,244.98,Monday,27.22,244.98
FreshMart Group,2025-02-10,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0109,Orange,11,572.33,Monday,52.03,572.33
FreshMart Group,2025-02-12,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0110,Potato,10,729.7,Wednesday,72.97,729.7
FreshMart Group,2025-02-18,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0111,Blueberry,12,884.64,Tuesday,73.72,884.64
FreshMart Group,2025-01-20,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0112,Plum,3,179.52,Monday,59.84,179.52
FreshMart Group,2025-01-17,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0113,Carrot,15,521.85,Friday,34.79,521.85
FreshMart Group,2025-01-03,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0114,Lettuce,16,218.08,Friday,13.63,218.08
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0115,Peach,9,258.66,Monday,28.74,258.66
FreshMart Group,2025-01-12,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0116,Potato,9,471.96,Sunday,52.44,471.96
FreshMart Group,2025-01-22,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0117,Strawberry,12,209.64,Wednesday,17.47,209.64
FreshMart Group,2025-02-09,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0118,Cauliflower,18,412.38,Sunday,22.91,412.38
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0119,Cauliflower,6,473.76,Wednesday,78.96,473.76
FreshMart Group,2025-03-01,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0120,Strawberry,20,955.4,Saturday,47.77,955.4
FreshMart Group,2025-02-09,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0121,Lettuce,14,513.24,Sunday,36.66,513.24
FreshMart Group,2025-01-30,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0122,Strawberry,7,438.41,Thursday,62.63,438.41
FreshMart Group,2025-02-23,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0123,Lettuce,10,740.6,Sunday,74.06,740.6
FreshMart Group,2025-01-15,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0124,Cauliflower,5,259.55,Wednesday,51.91,259.55
FreshMart Group,2025-01-23,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0125,Pumpkin,12,965.16,Thursday,80.43,965.16
FreshMart Group,2025-01-30,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0126,Mosambi,2,140.54,Thursday,70.27,140.54
FreshMart Group,2025-02-16,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0127,Plum,10,126.8,Sunday,12.68,126.8
FreshMart Group,2025-01-16,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0128,Mosambi,13,396.89,Thursday,30.53,396.89
FreshMart Group,2025-01-05,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0129,Blueberry,16,222.72,Sunday,13.92,222.72
FreshMart Group,2025-02-23,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0130,Spinach,6,563.7,Sunday,93.95,563.7
FreshMart Group,2025-02-19,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0131,Blueberry,9,890.28,Wednesday,98.92,890.28
FreshMart Group,2025-01-31,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0132,Strawberry,2,168.14,Friday,84.07,168.14
FreshMart Group,2025-01-24,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0133,Mosambi,18,386.28,Friday,21.46,386.28
FreshMart Group,2025-03-01,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0134,Blueberry,13,207.74,Saturday,15.98,207.74
FreshMart Group,2025-02-17,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0135,Strawberry,6,158.04,Monday,26.34,158.04
FreshMart Group,2025-02-11,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0136,Bottle Gourd,7,528.92,Tuesday,75.56,528.92
FreshMart Group,2025-02-16,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0137,Spinach,10,525.7,Sunday,52.57,525.7
FreshMart Group,2025-01-12,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0138,Blueberry,12,1019.16,Sunday,84.93,1019.16
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0139,Pumpkin,14,232.26,Friday,16.59,232.26
FreshMart Group,2025-01-31,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0140,Peach,18,1207.44,Friday,67.08,1207.44
FreshMart Group,2025-02-08,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0141,Orange,1,85.42,Saturday,85.42,85.42
FreshMart Group,2025-02-08,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0142,Carrot,8,97.84,Saturday,12.23,97.84
FreshMart Group,2025-01-27,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0143,Plum,12,605.28,Monday,50.44,605.28
FreshMart Group,2025-01-10,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0144,Mango,2,32.28,Friday,16.14,32.28
FreshMart Group,2025-02-09,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0145,Plum,20,972.8,Sunday,48.64,972.8
FreshMart Group,2025-02-06,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0146,Mosambi,20,1325.8,Thursday,66.29,1325.8
FreshMart Group,2025-01-09,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0147,Orange,4,204.44,Thursday,51.11,204.44
FreshMart Group,2025-01-15,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0148,Mango,4,136.56,Wednesday,34.14,136.56
FreshMart Group,2025-03-01,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0149,Peach,3,79.8,Saturday,26.6,79.8
FreshMart Group,2025-02-24,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0150,Lemon,20,534.2,Monday,26.71,534.2
FreshMart Group,2025-02-22,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0151,Lettuce,14,1101.66,Saturday,78.69,1101.66
FreshMart Group,2025-02-19,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0152,Plum,14,1086.96,Wednesday,77.64,1086.96
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0153,Spinach,19,1164.32,Friday,61.28,1164.32
FreshMart Group,2025-02-12,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0154,Spinach,14,509.6,Wednesday,36.4,509.6
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0155,Pumpkin,20,645.2,Monday,32.26,645.2
FreshMart Group,2025-01-03,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0156,Mosambi,9,241.56,Friday,26.84,241.56
FreshMart Group,2025-02-17,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0157,Strawberry,6,441.18,Monday,73.53,441.18
FreshMart Group,2025-01-06,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0158,Orange,14,249.76,Monday,17.84,249.76
FreshMart Group,2025-02-03,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0159,Orange,16,821.28,Monday,51.33,821.28
FreshMart Group,2025-02-14,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0160,Plum,6,362.4,Friday,60.4,362.4
FreshMart Group,2025-01-07,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0161,Orange,14,993.58,Tuesday,70.97,993.58
FreshMart Group,2025-01-03,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0162,Bottle Gourd,2,75.46,Friday,37.73,75.46
FreshMart Group,2025-02-11,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0163,Pumpkin,7,167.72,Tuesday,23.96,167.72
FreshMart Group,2025-02-07,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0164,Spinach,13,250.12,Friday,19.24,250.12
FreshMart Group,2025-01-29,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0165,Bottle Gourd,15,373.65,Wednesday,24.91,373.65
FreshMart Group,2025-01-22,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0166,Cauliflower,5,417.5,Wednesday,83.5,417.5
FreshMart Group,2025-02-24,Super Market,Fruits & Vegetables,Vegetables,Root,ITEM0167,Potato,5,489.55,Monday,97.91,489.55
FreshMart Group,2025-02-08,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0168,Orange,5,416.8,Saturday,83.36,416.8
FreshMart Group,2025-01-05,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0169,Bottle Gourd,13,1192.23,Sunday,91.71,1192.23
FreshMart Group,2025-01-27,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0170,Bottle Gourd,15,187.5,Monday,12.5,187.5
FreshMart Group,2025-01-28,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0171,Cauliflower,19,1246.59,Tuesday,65.61,1246.59
FreshMart Group,2025-01-07,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0172,Banana,3,185.34,Tuesday,61.78,185.34
FreshMart Group,2025-02-05,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0173,Cabbage,3,85.86,Wednesday,28.62,85.86
FreshMart Group,2025-01-22,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0174,Orange,10,142.3,Wednesday,14.23,142.3
FreshMart Group,2025-02-13,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0175,Cabbage,5,114.55,Thursday,22.91,114.55
FreshMart Group,2025-02-22,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0176,Lettuce,13,978.9,Saturday,75.3,978.9
FreshMart Group,2025-02-21,Super Market,Fruits & Vegetables,Fruits,Stone Fruit,ITEM0177,Plum,9,247.68,Friday,27.52,247.68
FreshMart Group,2025-02-12,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0178,Bottle Gourd,16,661.76,Wednesday,41.36,661.76
FreshMart Group,2025-02-26,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0179,Blueberry,16,904.48,Wednesday,56.53,904.48
FreshMart Group,2025-01-01,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0180,Blueberry,2,144.64,Wednesday,72.32,144.64
FreshMart Group,2025-02-01,Super Market,Fruits & Vegetables,Vegetables,Leafy,ITEM0181,Spinach,17,845.92,Saturday,49.76,845.92
FreshMart Group,2025-01-31,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0182,Strawberry,16,1545.12,Friday,96.57,1545.12
FreshMart Group,2025-01-05,Super Market,Fruits & Vegetables,Vegetables,Gourd,ITEM0183,Pumpkin,17,919.53,Sunday,54.09,919.53
FreshMart Group,2025-02-21,Super Market,Fruits & Vegetables,Fruits,Tropical,ITEM0184,Mango,11,891.0,Friday,81.0,891.0
FreshMart Group,2025-01-02,Super Market,Fruits & Vegetables,Vegetables,Cruciferous,ITEM0185,Cabbage,13,309.92,Thursday,23.84,309.92
FreshMart Group,2025-02-11,Super Market,Fruits & Vegetables,Fruits,Citrus,ITEM0186,Lemon,3,272.28,Tuesday,90.76,272.28
FreshMart Group,2025-01-27,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0187,Strawberry,5,377.5,Monday,75.5,377.5
FreshMart Group,2025-01-31,Super Market,Fruits & Vegetables,Fruits,Berries,ITEM0188,Strawberry,18,1686.78,Friday,93.71,1686.78
